Date,Open,High,Low,Close,AdjClose,Volume
2005-05-01,49.41,50.24,47.30,49.08,28.75,121294334
2005-06-01,49.01,51.02,48.86,50.26,30.28,98100288
2005-07-01,50.18,56.14,48.94,55.54,33.45,114781903
2005-08-01,55.54,56.23,52.83,54.54,32.85,90415533
2005-09-01,54.75,60.98,54.53,60.45,36.41,122373609
2005-10-01,60.74,61.84,57.53,60.69,36.56,105215652
2005-11-01,60.86,66.00,60.27,64.57,38.89,98796381
2005-12-01,64.62,66.02,62.26,63.62,38.32,91867491
2006-01-01,63.69,68.97,63.05,68.65,41.35,106569266
2006-02-01,68.66,73.75,66.91,71.81,43.60,107993008
2006-03-01,72.23,74.72,69.42,73.21,44.45,124683510
2006-04-01,73.71,76.34,72.04,75.59,45.90,82037624
2006-05-01,75.59,77.83,67.27,69.56,42.23,184781846
2006-06-01,69.36,70.37,62.71,68.35,41.50,126015114
2006-07-01,68.70,70.92,64.00,70.10,43.77,89435494
2006-08-01,68.70,69.63,65.25,69.25,43.24,114343416
2006-09-01,69.15,74.42,67.97,73.92,46.15,109580686
2006-10-01,74.26,77.46,73.01,76.60,47.83,107434469
2006-11-01,75.77,80.23,74.67,75.63,47.22,122028850
2006-12-01,75.89,79.37,74.34,78.72,49.15,83134959
2007-01-01,78.72,84.48,78.02,84.23,52.59,107816176
2007-02-01,85.21,85.44,75.86,77.09,48.48,105890185
2007-03-01,77.17,79.14,70.37,78.33,49.26,179110054
2007-04-01,77.80,89.28,77.33,88.01,55.35,119526336
2007-05-01,88.01,92.05,85.96,87.82,55.23,117794648
2007-06-01,88.04,89.26,81.04,83.74,54.55,158355286
2007-07-01,82.90,85.29,74.45,78.37,51.06,170071785
2007-08-01,75.73,80.37,68.40,70.40,45.86,283037505
2007-09-01,71.07,74.03,67.70,70.20,45.73,225870641
2007-10-01,68.83,75.13,66.43,71.50,46.58,191627264
2007-11-01,71.61,71.61,63.17,69.74,45.43,206740805
2007-12-01,69.88,71.70,67.19,69.44,45.24,108952982
2008-01-01,69.44,69.75,52.04,58.38,38.03,285419659
2008-02-01,58.88,61.01,55.77,57.68,37.58,215981648
2008-03-01,56.55,57.84,50.19,55.69,36.28,201545899
2008-04-01,55.14,60.65,54.64,59.79,38.95,153745996
2008-05-01,59.79,61.52,53.06,53.39,34.78,148194321
2008-06-01,53.80,53.89,42.19,42.60,29.59,235457778
2008-07-01,42.26,48.38,36.88,46.29,32.15,288338397
2008-08-01,45.74,50.37,43.20,45.21,32.62,166372385
2008-09-01,44.82,48.81,36.93,38.48,27.76,384222101
2008-10-01,39.25,42.19,17.29,22.87,16.50,409804902
2008-11-01,24.08,28.42,14.44,21.73,15.68,279727326
2008-12-01,21.75,22.52,18.14,21.62,15.60,199777683
2009-01-01,21.62,22.95,11.95,16.08,11.60,288200416
2009-02-01,15.57,18.63,12.69,16.14,11.65,273382825
2009-03-01,15.26,25.57,14.13,23.54,16.98,359078498
2009-04-01,23.71,33.86,22.81,31.57,22.78,258930897
2009-05-01,31.57,38.18,28.45,36.74,26.51,202566125
2009-06-01,36.86,38.54,30.38,33.55,24.46,180365446
2009-07-01,33.94,40.86,31.88,35.26,25.71,192456203
2009-08-01,35.50,38.75,34.12,36.78,26.82,152647639
2009-09-01,36.69,41.90,35.12,40.74,29.70,156735677
2009-10-01,40.72,45.28,35.72,38.49,28.06,169608301
2009-11-01,38.41,40.92,35.19,37.33,27.22,131460256
2009-12-01,37.78,40.58,36.40,38.39,27.99,121768298
2010-01-01,38.39,41.87,33.44,34.47,25.13,177533636
